Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,age,agerange
700070,"Polgar, Judit",HUN,F,1976,GM,2675,2646,2736,Inactive,44,40-50
8602980,"Hou, Yifan",CHN,F,1994,GM,2658,2621,2601,Active,26,20-30
5008123,"Koneru, Humpy",IND,F,1987,GM,2586,2483,2483,Active,33,30-40
4147103,"Goryachkina, Aleksandra",RUS,F,1998,GM,2582,2502,2441,Active,22,20-30
700088,"Polgar, Susan",HUN,F,1969,GM,2577,0,0,Inactive,51,50-60
8600147,"Xie, Jun",CHN,F,1970,GM,2574,0,0,Inactive,50,40-50
8603006,"Ju, Wenjun",CHN,F,1991,GM,2560,2610,2536,Active,29,20-30
14109336,"Lagno, Kateryna",RUS,F,1989,GM,2546,2521,2608,Active,31,30-40
14114550,"Muzychuk, Mariya",UKR,F,1992,GM,2544,2506,2326,Active,28,20-30
12801259,"Cmilyte, Viktorija",LTU,F,1983,GM,2538,2394,2435,Inactive,37,30-40
14111330,"Muzychuk, Anna",UKR,F,1990,GM,2535,2533,2505,Active,30,20-30
13601903,"Dzagnidze, Nana",GEO,F,1987,GM,2524,2447,2391,Active,33,30-40
5015197,"Harika, Dronavalli",IND,F,1991,GM,2515,2450,2422,Active,29,20-30
8603642,"Tan, Zhongyi",CHN,F,1991,GM,2510,2501,2510,Active,29,20-30
8605114,"Lei, Tingjie",CHN,F,1997,GM,2505,2527,2530,Active,23,20-30
13600036,"Chiburdanidze, Maia",GEO,F,1961,GM,2500,2432,2437,Inactive,59,50-60
13700090,"Saduakassova, Dinara",KAZ,F,1996,IM,2500,2412,2378,Active,24,20-30
4198026,"Kashlinskaya, Alina",RUS,F,1993,IM,2494,2384,2364,Active,27,20-30
12512214,"Khademalsharieh, Sarasadat",IRI,F,1997,IM,2494,2393,2431,Active,23,20-30
8602727,"Ruan, Lufei",CHN,F,1987,WGM,2491,0,0,Inactive,33,30-40
8601283,"Zhao, Xue",CHN,F,1985,GM,2486,2442,2407,Active,35,30-40
8600430,"Wang, Lei",CHN,F,1975,WGM,2484,0,0,Inactive,45,40-50
4134974,"Kosintseva, Nadezhda",RUS,F,1985,GM,2483,2516,2519,Inactive,35,30-40
13703544,"Abdumalik, Zhansaya",KAZ,F,2000,IM,2478,2462,2409,Active,20,10-20
13600079,"Ioseliani, Nana",GEO,F,1962,IM,2475,0,0,Inactive,58,50-60
13601458,"Javakhishvili, Lela",GEO,F,1984,IM,2475,2383,2332,Active,36,30-40
4133471,"Kosintseva, Tatiana",RUS,F,1986,GM,2475,2496,2506,Inactive,34,30-40
4147855,"Pogonina, Natalija",RUS,F,1985,WGM,2475,2499,2311,Active,35,30-40
4641833,"Paehtz, Elisabeth",GER,F,1985,IM,2473,2369,2396,Active,35,30-40
4128125,"Kosteniuk, Alexandra",RUS,F,1984,GM,2471,2517,2521,Active,36,30-40
4195752,"Girya, Olga",RUS,F,1991,WGM,2469,2471,2297,Active,29,20-30
8600350,"Qin, Kanying",CHN,F,1974,WGM,2466,0,0,Inactive,46,40-50
8600635,"Xu, Yuhua",CHN,F,1976,GM,2465,0,0,Inactive,44,40-50
1700030,"Cramling, Pia",SWE,F,1963,GM,2464,2396,2320,Active,57,50-60
2902257,"Stefanova, Antoaneta",BUL,F,1979,GM,2462,2461,2485,Active,41,40-50
8608059,"Zhu, Jiner",CHN,F,2002,WGM,2459,2326,2249,Active,18,10-20
13602640,"Khotenashvili, Bela",GEO,F,1988,GM,2458,2413,2320,Active,32,30-40
13602993,"Batsiashvili, Nino",GEO,F,1987,GM,2457,2425,2278,Active,33,30-40
24171760,"Shuvalova, Polina",RUS,F,2001,WGM,2454,2379,2319,Active,19,10-20
4130189,"Atalik, Ekaterina",TUR,F,1982,IM,2450,2419,2228,Active,38,30-40
700231,"Polgar, Sofia",HUN,F,1974,IM,2450,0,0,Inactive,46,40-50
723916,"Dembo, Yelena",GRE,F,1983,IM,2448,0,0,Inactive,37,30-40
4144228,"Korbut, Ekaterina",RUS,F,1985,IM,2448,0,0,Inactive,35,30-40
13403729,"Mammadzada, Gunay",AZE,F,2000,IM,2443,2280,2242,Active,20,10-20
4129725,"Galliamova, Alisa",RUS,F,1972,IM,2438,2356,2412,Inactive,48,40-50
14101602,"Osmak, Iulija",UKR,F,1998,IM,2438,2356,2242,Active,22,20-30
617822,"Sebag, Marie",FRA,F,1986,GM,2438,2413,2482,Active,34,30-40
13903063,"Bulmaga, Irina",ROU,F,1993,IM,2434,2351,2335,Active,27,20-30
8602689,"Huang, Qian",CHN,F,1986,WGM,2433,2464,2311,Active,34,30-40
4167570,"Gunina, Valentina",RUS,F,1989,GM,2431,2427,2476,Active,31,30-40
2012782,"Krush, Irina",USA,F,1983,GM,2429,2392,2342,Active,37,30-40
13604040,"Arabidze, Meri",GEO,F,1994,IM,2428,2434,2432,Active,26,20-30
4900758,"Munguntuul, Batkhuyag",MGL,F,1987,IM,2428,2364,2285,Active,33,30-40
1106619,"Socko, Monika",POL,F,1978,GM,2428,2321,2289,Active,42,40-50
13509926,"Badelka, Olga",BLR,F,2002,IM,2427,2246,2197,Active,18,10-20
8604070,"Wang, Jue",CHN,F,1995,WGM,2426,2421,2378,Active,25,20-30
8600546,"Zhu, Chen",QAT,F,1976,GM,2423,2404,2378,Inactive,44,40-50
8602972,"Ding, Yixin",CHN,F,1991,WGM,2422,2349,2313,Active,29,20-30
13601377,"Matnadze, Ana",ESP,F,1983,IM,2421,2361,2438,Active,37,30-40
2090732,"Yip, Carissa",USA,F,2003,IM,2421,0,1708,Active,17,10-20
14102463,"Alexandrova, Olga",ESP,F,1978,IM,2420,2406,2408,Active,42,40-50
14101572,"Zatonskih, Anna",USA,F,1978,IM,2420,2327,2331,Active,42,40-50
1122320,"Zawadzka, Jolanta",POL,F,1987,WGM,2419,2313,2257,Active,33,30-40
8604002,"Guo, Qi",CHN,F,1995,IM,2418,2446,2338,Active,25,20-30
13900145,"Skripchenko, Almira",FRA,F,1976,IM,2418,2227,2298,Active,44,40-50
14110911,"Ushenina, Anna",UKR,F,1985,GM,2416,2376,2387,Active,35,30-40
639370,"Guichard, Pauline",FRA,F,1988,IM,2415,2284,2270,Active,32,30-40
403512,"Hunt, Harriet V",ENG,F,1978,IM,2414,2391,0,Inactive,42,40-50
7101937,"Sukandar, Irine Kharisma",INA,F,1992,IM,2413,2381,2313,Active,28,20-30
4181751,"Bodnaruk, Anastasia",RUS,F,1992,IM,2411,2308,2415,Active,28,20-30
1122681,"Cyfka, Karina",POL,F,1987,IM,2411,2330,2304,Active,33,30-40
14123622,"Buksa, Nataliya",UKR,F,1996,IM,2410,2213,2214,Active,24,20-30
13300210,"Danielian, Elina",ARM,F,1978,GM,2407,2358,2289,Active,42,40-50
12400149,"Hoang, Thanh Trang",HUN,F,1980,GM,2407,2338,2364,Active,40,30-40
2005956,"Levitina, Irina",USA,F,1954,WGM,2405,0,0,Inactive,66,60-70
308498,"Jackova, Jana",CZE,F,1982,IM,2402,0,0,Inactive,38,30-40
13308130,"Sargsyan, Anna M.",ARM,F,2001,WGM,2402,2304,2263,Active,19,10-20
623725,"Milliet, Sophie",FRA,F,1983,IM,2401,2381,2296,Active,37,30-40
8603162,"Shen, Yang",CHN,F,1989,IM,2401,2383,2331,Active,31,30-40
12802859,"Daulyte-Cornette, Deimante",LTU,F,1989,IM,2400,2362,2285,Active,31,30-40
14101181,"Gaponenko, Inna",UKR,F,1976,IM,2396,2375,2326,Active,44,40-50
1108166,"Rajlich, Iweta",POL,F,1981,IM,2394,2381,0,Inactive,39,30-40
5091756,Vaishali R,IND,F,2001,WGM,2393,2149,2313,Active,19,10-20
1201930,"Peptan, Corina-Isabela",ROU,F,1978,IM,2392,2355,2293,Active,42,40-50
5007844,"Tania, Sachdev",IND,F,1986,IM,2392,2339,2280,Active,34,30-40
5019516,Kulkarni Bhakti,IND,F,1992,IM,2391,2325,2224,Active,28,20-30
4264312,"Tsolakidou, Stavroula",GRE,F,2000,IM,2391,2305,2343,Active,20,10-20
8608466,"Ni, Shiqun",CHN,F,1997,WGM,2389,2377,2186,Active,23,20-30
14109956,"Zdebskaja, Natalia",UKR,F,1986,WGM,2389,0,0,Inactive,34,30-40
3801934,"Cori T., Deysi",PER,F,1993,WGM,2388,2340,2391,Active,27,20-30
13300601,"Mkrtchian, Lilit",ARM,F,1982,IM,2388,2306,2319,Active,38,30-40
904180,"Maric, Alisa",SRB,F,1970,IM,2387,0,0,Inactive,50,40-50
8600406,"Wang, Pin",CHN,F,1974,WGM,2387,0,0,Inactive,46,40-50
4100123,"Bivol, Alina",RUS,F,1996,WGM,2386,2248,2219,Active,24,20-30
4116704,"Kovalevskaya, Ekaterina",RUS,F,1974,IM,2384,2282,2177,Active,46,40-50
2053900,"Wang, Annie",USA,F,2002,IM,2384,0,2037,Active,18,10-20
13602888,"Guramishvili, Sopiko",NED,F,1991,IM,2383,2328,2321,Active,29,20-30
4900782,"Nomin-Erdene, Davaademberel",MGL,F,2000,IM,2383,2235,2188,Active,20,10-20
13403508,"Mammadova, Gulnar",AZE,F,1991,IM,2382,2400,2328,Active,29,20-30
405094,"Houska, Jovanka",ENG,F,1980,IM,2381,2317,2345,Active,40,30-40
4120876,"Turova, Irina",RUS,F,1979,IM,2381,2348,2388,Active,41,40-50
13600168,"Arakhamia-Grant, Ketevan",SCO,F,1968,GM,2380,2282,2177,Active,52,50-60
4119827,"Matveeva, Svetlana",RUS,F,1969,IM,2380,2338,2231,Active,51,50-60
2219026,"Vega Gutierrez, Sabrina",ESP,F,1987,IM,2380,2243,2248,Active,33,30-40
13708694,"Assaubayeva, Bibisara",KAZ,F,2004,FM,2378,2321,2232,Active,16,10-20
4149351,"Guseva, Marina",RUS,F,1986,IM,2378,2252,2259,Active,34,30-40
14203626,"Tokhirjonova, Gulrukhbegim",UZB,F,1999,WGM,2378,2330,2236,Active,21,20-30
4132190,"Zimina, Olga",ITA,F,1982,IM,2378,2327,2229,Active,38,30-40
13406396,"Balajayeva, Khanim",AZE,F,2001,WGM,2376,2093,2119,Active,19,10-20
13603620,"Paikidze, Nazi",USA,F,1993,IM,2374,2402,2314,Inactive,27,20-30
14104652,"Gritsayeva, Oksana",RUS,F,1980,WFM,2373,2173,2107,Active,40,30-40
13505211,"Ziaziulkina, Nastassia",BLR,F,1995,IM,2373,2299,2271,Inactive,25,20-30
4131827,"Ovod, Evgenija",RUS,F,1982,IM,2372,2235,2092,Active,38,30-40
2915138,"Salimova, Nurgyul",BUL,F,2003,IM,2372,2085,1973,Active,17,10-20
4166299,"Ambartsumova, Karina",RUS,F,1989,IM,2371,2328,2262,Active,31,30-40
717444,"Gara, Ticia",HUN,F,1984,WGM,2371,2274,2340,Active,36,30-40
13602446,"Melia, Salome",GEO,F,1987,IM,2370,2271,2211,Active,33,30-40
5029295,"Padmini, Rout",IND,F,1994,IM,2370,2355,2196,Active,26,20-30
3506940,"Ordaz Valdes, Lisandra Teresa",CUB,F,1988,IM,2369,2290,2301,Active,32,30-40
822590,"Brunello, Marina",ITA,F,1994,IM,2368,2316,2328,Active,26,20-30
12401226,"Pham, Le Thao Nguyen",VIE,F,1987,IM,2366,2377,2325,Active,33,30-40
8600201,"Zhai, Mo",CHN,F,1996,WGM,2366,2351,2342,Active,24,20-30
5050847,"Nandhidhaa, P V",IND,F,1996,WGM,2365,2131,1989,Active,24,20-30
908550,"Bojkovic, Natasa",SRB,F,1971,IM,2363,0,0,Active,49,40-50
13603434,"Tsatsalashvili, Keti",GEO,F,1992,WGM,2363,2191,2246,Active,28,20-30
6302920,"Yildiz Kadioglu, Betul Cemre",TUR,F,1989,WGM,2362,2365,2253,Active,31,30-40
7101570,"Aulia, Medina Warda",INA,F,1997,IM,2360,2344,2199,Inactive,23,20-30
14101610,"Vasilevich, Tatjana",UKR,F,1977,IM,2360,2193,2146,Inactive,43,40-50
3600270,"Fierro Baquero, Martha L.",ECU,F,1977,IM,2359,2304,2214,Inactive,43,40-50
13301918,"Abrahamyan, Tatev",USA,F,1988,WGM,2358,0,2352,Active,32,30-40
1004786,"Peng, Zhaoqin",NED,F,1968,GM,2358,0,2133,Active,52,50-60
34127035,"Garifullina, Leya",RUS,F,2004,WGM,2357,2236,2259,Active,16,10-20
4900839,"Batchimeg, Tuvshintugs",MGL,F,1986,IM,2356,2311,2295,Inactive,34,30-40
4180917,"Charochkina, Daria",RUS,F,1990,IM,2356,2275,2332,Active,30,20-30
705136,"Medvegy, Nora Dr.",HUN,F,1977,IM,2355,0,0,Inactive,43,40-50
24157570,"Dordzhieva, Dinara",RUS,F,1999,WIM,2354,2345,2273,Active,21,20-30
5013623,"Gomes, Mary Ann",IND,F,1989,WGM,2354,2305,2106,Active,31,30-40
14102358,"Kononenko, Tatiana",UKR,F,1978,IM,2353,2314,0,Inactive,42,40-50
4162340,"Tomilova, Elena",RUS,F,1986,WGM,2353,2173,2124,Active,34,30-40
4104897,"Zaitseva, Ludmila G.",RUS,F,1956,WGM,2352,0,0,Inactive,64,60-70
5016193,"Soumya, Swaminathan",IND,F,1989,IM,2351,2249,2115,Active,31,30-40
1106686,"Michna, Marta",GER,F,1978,WGM,2350,2292,2377,Active,42,40-50
3202232,"Nutu-Gajic, Daniela",AUS,F,1957,WGM,2350,0,0,Inactive,63,60-70
3526216,"Hernandez Gil, Ineymig",CUB,F,2004,WFM,2348,0,2017,Active,16,10-20
723894,"Lazarne Vajda, Szidonia",HUN,F,1979,IM,2348,2239,2347,Active,41,40-50
928682,"Stojanovic, Andjelija",SRB,F,1987,WGM,2348,2263,2293,Active,33,30-40
109878,"Lujan, Carolina",ARG,F,1985,IM,2346,2375,2294,Active,35,30-40
1003259,"Schuurman, Petra",NED,F,1968,FM,2346,0,0,Inactive,52,50-60
